work_year,experience_level,job_title,salary,salary_currency,company_location
2023,SE,Data Analyst,202800,USD,US
2023,SE,Data Analyst,104300,USD,US
2023,SE,Data Scientist,239000,USD,US
2023,SE,Data Scientist,122900,USD,US
2023,SE,Data Engineer,240500,USD,US
2023,SE,Data Engineer,123700,USD,US
2023,SE,Data Engineer,205600,USD,US
2023,SE,Data Engineer,105700,USD,US
2023,EN,Data Analyst,60000,USD,US
2022,MI,Data Scientist,155000,USD,US
2023,SE,Data Engineer,240500,USD,US
2023,SE,Data Engineer,123700,USD,US
2023,SE,Data Engineer,205600,USD,US
2023,SE,Data Engineer,105700,USD,US
2022,MI,Data Scientist,110000,USD,US
2022,EN,Data Analyst,50000,USD,US
2022,EN,Data Analyst,50000,USD,US
2022,SE,Data Engineer,230000,USD,US
2022,SE,Data Engineer,154600,USD,US
2022,MI,Data Analyst,80000,USD,US
2022,SE,Data Scientist,198440,USD,US
2022,SE,Data Scientist,144000,USD,US
2022,EN,Data Analyst,64000,USD,US
2022,SE,Data Scientist,202800,USD,US
2022,SE,Data Scientist,104300,USD,US
2022,SE,Data Engineer,205600,USD,US
2022,SE,Data Engineer,105700,USD,US
2022,EN,Data Scientist,80000,USD,US
2022,MI,Data Scientist,108000,USD,US
2022,SE,Data Scientist,198440,USD,US
2022,SE,Data Scientist,144000,USD,US
2022,MI,Data Analytics Engineer,135000,USD,US
2022,SE,Data Engineer,178800,USD,US
2022,SE,Data Engineer,132100,USD,US
2022,SE,Data Engineer,229998,USD,US
2022,SE,Data Engineer,154545,USD,US
2022,SE,Data Scientist,215000,USD,US
2022,SE,Data Scientist,159000,USD,US
2022,SE,Data Engineer,229998,USD,US
2022,SE,Data Engineer,154545,USD,US
2022,SE,Data Scientist Lead,183000,USD,US
2022,SE,Data Scientist,236900,USD,US
2022,SE,Data Scientist,159200,USD,US
2022,SE,Data Architect,195400,USD,US
2022,SE,Data Architect,131300,USD,US
2022,SE,Data Architect,195400,USD,US
2022,SE,Data Architect,131300,USD,US
2022,SE,Data Engineer,178800,USD,US
2022,SE,Data Engineer,132100,USD,US
2022,SE,Data Scientist,180000,USD,US
2022,SE,Data Scientist,165000,USD,US
2022,MI,Data Analyst,97500,USD,US
2022,SE,Data Analyst,115000,USD,US
2022,EN,Data Analyst,46000,USD,US
