Cement,Water,Coarse_Aggregate,Fine_Aggregate,Age,Strength 
540,162,1040,676,28,79.98611076
540,162,1055,676,28,61.88736576
332.5,228,932,594,270,40.26953526
332.5,228,932,594,365,41.05277999
198.6,192,978.4,825.5,360,44.2960751
266,228,932,670,90,47.02984744
380,228,932,594,365,43.6982994
380,228,932,594,28,36.44776979
266,228,932,670,28,45.85429086
475,228,932,594,28,39.28978986
198.6,192,978.4,825.5,90,38.07424367
198.6,192,978.4,825.5,28,28.02168359
427.5,228,932,594,270,43.01296026
190,228,932,670,90,42.32693164
304,228,932,670,28,47.81378165
380,228,932,670,90,52.90831981
139.6,192,1047,806.9,90,39.35804798
342,228,932,670,365,56.14196225
380,228,932,594,90,40.56325203
475,228,932,594,180,42.62064842
427.5,228,932,594,180,41.8367142
139.6,192,1047,806.9,28,28.23748958
139.6,192,1047,806.9,3,8.06342182
139.6,192,1047,806.9,180,44.20782217
380,228,932,670,365,52.51669744
380,228,932,670,270,53.30063166
380,228,932,594,270,41.15137506
342,228,932,670,180,52.1243856
427.5,228,932,594,28,37.42751518
475,228,932,594,7,38.60376124
304,228,932,670,365,55.26012245
266,228,932,670,365,52.90831981
198.6,192,978.4,825.5,180,41.71950328
475,228,932,594,270,42.13112046
190,228,932,670,365,53.69225402
237.5,228,932,594,270,38.40795006
237.5,228,932,594,28,30.07976945
332.5,228,932,594,90,37.72192144
475,228,932,594,90,42.22902605
237.5,228,932,594,180,36.2519586
