Title,Year,IMDb,Rotten_Tomatoes,Genres,Runtime
Black Mirror: Bandersnatch,2018,7.2,92%,Drama,90
Bill Burr: Paper Tiger,2019,8.2,86%,Comedy,67
The Secret Life of Pets 2,2019,6.5,60%,Adventure,86
Mary Poppins Returns,2018,6.7,79%,Comedy,130
Shirkers,2018,7.4,100%,Drama,97
The Grinch,2018,6.3,59%,Comedy,104
Furie,2019,5.8,95%,Drama,134
In the Shadow of the Moon,2019,6.2,59%,Mystery,115
Goosebumps 2: Haunted Halloween,2018,5.6,48%,Adventure,90
The Nutcracker and the Four Realms,2018,5.5,33%,Adventure,99
How to Train Your Dragon: The Hidden World,2019,7.5,91%,Adventure,104
Mission: Impossible - Fallout,2018,7.7,97%,Thriller,147
"Juliet, Naked",2018,6.6,83%,Comedy,97
Amazing Grace,2018,7.5,99%,Drama,118
Skate Kitchen,2018,6.8,89%,Drama,106
Death Wish,2018,6.4,18%,Thriller,107
Pet Sematary,2019,5.7,58%,Thriller,101
Mom and Dad,2018,5.5,75%,Comedy,86
The Prodigy,2019,5.8,42%,Thriller,92
Wounds,2019,4,51%,Drama,95
The Farewell,2019,7.6,98%,Comedy,100
Leave No Trace,2018,7.2,100%,Drama,109
First Reformed,2018,7.1,93%,Mystery,113
Brittany Runs a Marathon,2019,6.8,89%,Comedy,104
Katie Says Goodbye,2018,6.7,42%,Drama,88
Softness of Bodies,2018,4.1,100%,Comedy,74
They,2018,4.7,71%,Mystery,89
Genesis,2018,5.9,80%,Comedy,111
5 Weddings,2018,3.5,17%,Comedy,90
Maleficent: Mistress of Evil,2019,6.6,40%,Adventure,119
Dumbo,2019,6.3,47%,Adventure,112
